Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP_0603,1,470n,
"C10, C23, C29, C4",CAP_0603_C4,4,100p,
C11,CAP_0603_C11,1,100n,
"C12, C26, C31, C6",CAP_0603,4,100p,
C13,CAP_0603_C13,1,100n,
"C14, C21",CAP_0603_C14,2,100n,
"C15, C37, C40",CAP_0603_C2,3,100n,
C16,CAP_0603_C4,1,18p,
C17,CAP_0603_C17,1,18p,
C18,CAPAE-5.3x5.3h7,1,47u,
C19,CAPAE-5.3x5.3h7_C19,1,47u,
C2,CAP_0603_C2,1,470n,
C20,CAP_0603_C20,1,100n,
"C22, C27, C3, C34, C7",CAP_0603,5,100n,
"C24, C36",CAP_0603_C17,2,100n,
"C25, C8",CAP_1206,2,10u,
C28,CAP_1206_C28,1,10u,
C30,CAP_0603_C30,1,100n,
C32,CAP_0603_C32,1,470n,
"C33, C35",CAP_0603_C2,2,1u,
"C38, C39",CAPAE-5.3x5.3h7_C38,2,47u,
C41,CAP_0603_C41,1,100n,
C42,CAP_0603_C42,1,18p,
"C43, C45, C5",CAP_0603_C4,3,100n,
C44,CAP_0603_C44,1,18p,
"C46, C48, C49",CAP_0603_C46,3,100n,
C50,CAP_0805,1,1u,
C9,CAP_1206_C9,1,10u,
D1,SOD123,1,1N5819HW,
D2,SOD-123F,1,1N4148,
D3,SOD-123F_D3,1,1N4148,
D4,SOD-123F_D4,1,1N4148,
D5,SOD-123F_D5,1,1N4148,
D7,SOP-4_6.5x2.54,1,MB1S,
IC1,SOT23,1,LM4040 10V,
"IC10, IC12, IC3, IC4",SO08,4,MCP6002,
IC11,SOT23_IC11,1,LM4040B25,
IC13,SO16,1,MCP3208,
IC14,SOT223,1,LM1117-3.3,
IC15,SO08_IC15,1,MCP4822,
IC16,TQFP44,1,ATXMEGA32A4U-AU,
IC17,SOIC-14_150mil,1,M74HC4024M1R,
IC18,SOIC-14_150mil,1,74LS86D,
IC19,SOT23-5_IC19,1,LM321MF,
"IC2, IC7, IC9",SO08,3,TL072D,
IC5,SOT23-5,1,74AHC1G125GV,
IC6,SOT23-5,1,74AHC1G86DBV,
IC8,SOT23-5_IC8,1,74AHC1G86DBV,
"J1, J9",Thonkiconn_Jack,2,THONKICONN,
"J10, J14",Thonkiconn_J10,2,PJ301_THONKICONN6,
"J11, J15, J3, J7",Thonkiconn_J3,4,PJ301_THONKICONN6,
"J12, J16, J4, J8",Thonkiconn_J4,4,PJ301_THONKICONN6,
"J13, J5",Thonkiconn_Jack_J5,2,THONKICONN,
J17,Thonkiconn_J17,1,PJ301_THONKICONN6,
J18,Thonkiconn_Jack_J18,1,THONKICONN,
J19,AVR_ICSP,1,M05X2PTH,
"J2, J6",Thonkiconn,2,PJ301_THONKICONN6,
J20,2X3,1,AVR_SPI_PRG_6PTH,
J21,Thonkiconn_Jack_J21,1,STEREO,
L1,0603,1,WE-CBF_0603,
"LED1, LED2, LED3, LED4",LED3MM,4,LED3MM,
OK1,SOIC-8_150mil,1,6N137,
Q1,SOT23_Q1,1,MMBT3904,
"Q2, Q3, Q4",SOT23_Q2,3,MMBT3904,
Q6,TSC_7A_crystal,1,8MHz,
R1,RES_0603,1,2k,
R10,RES_0603_R10,1,10k,
"R11, R48",RES_0603_R3,2,33k,
"R12, R23, R47, R58",RES_0603_R7,4,24.9k,
R13,RES_0603_R13,1,33k,
"R14, R29, R37, R50, R66",RES_0603_R7,5,100k,
"R15, R53",RES_0603_R7,2,10k,
"R16, R28, R65",RES_0603_R3,3,200k,
"R17, R44, R52, R8",RES_0603_R3,4,24.9k,
"R18, R60",RES_0603_R3,2,10k,
"R19, R26, R61, R63",RES_0603_R2,4,200k,
"R2, R86",RES_0603_R2,2,10k,
R20,RES_0603,1,1k,
"R21, R22, R30, R34, R36, R38, R40, R56, R59",RES_0603_R3,9,100k,
"R24, R67",RES_0603,2,100k,
"R25, R27, R55, R64",RES_0603_R7,4,200k,
R3,RES_0603_R3,1,300,
"R31, R32, R4, R41, R42, R5, R68, R69",ALPS_POT_VERTICAL_PS,8,10kB,
"R33, R6",RES_0603_R3,2,1k,
R35,RES_0603,1,33k,
R39,RES_0603_R3,1,39k,
R43,RES_0603_R43,1,1k,
"R45, R46",RES_0603_R45,2,10k,
"R49, R7",RES_0603_R7,2,1k,
R51,RES_0603,1,200k,
R54,RES_0603_R7,1,82k,
R57,RES_0603_R57,1,100k,
R62,RES_0603_R62,1,1k,
R70,RES_0603,1,39k,
"R71, R74",RES_0603,2,100,
R72,RES_0603_R72,1,100,
R73,RES_0603_R73,1,100,
R75,RES_0603_R75,1,220,
R76,RES_0603_R75,1,4.7k,
"R77, R79",RES_0603_R75,2,10k,
"R78, R80, R82, R83, R84",RES_0603_R78,5,20k,
R81,RES_0603_R78,1,10k,
R85,RES_0603_R75,1,1k,
R87,RES_0603_R2,1,30k,
R9,RES_0603,1,10k,
SW1,pvb6i,1,FX_HI,
"SW2, SW3",pvb6i_SW2,2,FX_HI,
"SW4, SW5",TACTILE-PTH,2,TAC_SWITCHPTH,
"SW6, SW7",TACTILE-PTH_SW6,2,TAC_SWITCHPTH,
SW8,TACTILE-PTH_SW8,1,TAC_SWITCHPTH,
SW9,TACTILE-PTH_SW9,1,TAC_SWITCHPTH,
